t,Code,Year,world-regions-according-to-the-united-nations
Mauritania,MRT,2021,Sub-Saharan Africa
Mauritius,MUS,2021,Sub-Saharan Africa
Mayotte,MYT,2021,Sub-Saharan Africa
Mexico,MEX,2021,Latin America and Caribbean
Micronesia,,2021,Oceania
Moldova,MDA,2021,Europe and Northern America
Monaco,MCO,2021,Europe and Northern America
Mongolia,MNG,2021,Eastern and South-Eastern Asia
Montenegro,MNE,2021,Europe and Northern America
Montserrat,MSR,2021,Latin America and Caribbean
Morocco,MAR,2021,Northern Africa and Western Asia
Mozambique,MOZ,2021,Sub-Saharan Africa
Myanmar,MMR,2021,Eastern and South-Eastern Asia
Namibia,NAM,2021,Sub-Saharan Africa
Nauru,NRU,2021,Oceania
Nepal,NPL,2021,Central and Southern Asia
Netherlands,NLD,2021,Europe and Northern America
New Caledonia,NCL,2021,Oceania
New Zealand,NZL,2021,Oceania
Nicaragua,NIC,2021,Latin America and Caribbean
Niger,NER,2021,Sub-Saharan Africa
Nigeria,NGA,2021,Sub-Saharan Africa
Niue,NIU,2021,Oceania
Norfolk Island,NFK,2021,Oceania
North Korea,PRK,2021,Eastern and South-Eastern Asia
North Macedonia,MKD,2021,Europe and Northern America
Northern Mariana Islands,MNP,2021,Oceania
Norway,NOR,2021,Europe and Northern America
Oman,OMN,2021,Northern Africa and Western Asia
Pakistan,PAK,2021,Central and Southern Asia
Palau,PLW,2021,Oceania
Palestine,PSE,2021,Northern Africa and Western Asia
Panama,PAN,2021,Latin America and Caribbean
Papua New Guinea,PNG,2021,Oceania
Paraguay,PRY,2021,Latin America and Caribbean
Peru,PER,2021,Latin America and Caribbean
Philippines,PHL,2021,Eastern and South-Eastern Asia
Pitcairn,PCN,2021,Oceania
Poland,POL,2021,Europe and Northern America
Portugal,PRT,2021,Europe and Northern America
Puerto Rico,PRI,2021,Latin America and Caribbean
Qatar,QAT,2021,Northern Africa and Western Asia
Reunion,REU,2021,Sub-Saharan Africa
Romania,ROU,2021,Europe and Northern America
Russia,RUS,2021,Europe and Northern America
Rwanda,RWA,2021,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,2021,Latin America and Caribbean
Saint Lucia,LCA,2021,Latin America and Caribbean
Saint Martin (French part),MAF,2021,Latin America and Caribbean
Saint Vincent and the Grenadines,VCT,2021,Latin America and Caribbean
Samoa,WSM,2021,Oceania
San Marino,SMR,2021,Europe and Northern America
Sao Tome and Principe,STP,2021,Sub-Saharan Africa
Saudi Arabia,SAU,2021,Northern Africa and Western Asia
Senegal,SEN,2021,Sub-Saharan Africa
Serbia,SRB,2021,Europe and Northern America
Seychelles,SYC,2021,Sub-Saharan Africa
Sierra Leone,SLE,2021,Sub-Saharan Africa
Singapore,SGP,2021,Eastern and South-Eastern Asia
Sint Maarten (Dutch part),SXM,2021,Latin America and Caribbean
Slovakia,SVK,2021,Europe and Northern America
Slovenia,SVN,2021,Europe and Northern America
Solomon Islands,SLB,2021,Oceania
Somalia,SOM,2021,Sub-Saharan Africa
South Africa,ZAF,2021,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,2021,Latin America and Caribbean
South Korea,KOR,2021,Eastern and South-Eastern Asia
South Sudan,SSD,2021,Sub-Saharan Africa
Spain,ESP,2021,Europe and Northern America
Sri Lanka,LKA,2021,Central and Southern Asia
Sudan,SDN,2021,Northern Africa and Western Asia
Suriname,SUR,2021,Latin America and Caribbean
Sweden,SWE,2021,Europe and Northern America
Switzerland,CHE,2021,Europe and Northern America
Syria,SYR,2021,Northern Africa and Western Asia
Tajikistan,TJK,2021,Central and Southern Asia
Tanzania,TZA,2021,Sub-Saharan Africa
Thailand,THA,2021,Eastern and South-Eastern Asia
Timor,TLS,2021,Eastern and South-Eastern Asia
Togo,TGO,2021,Sub-Saharan Africa
Tokelau,TKL,2021,Oceania
Tonga,TON,2021,Oceania
Trinidad and Tobago,TTO,2021,Latin America and Caribbean
Tunisia,TUN,2021,Northern Africa and Western Asia
Turkey,TUR,2021,Northern Africa and Western Asia
Turkmenistan,TKM,2021,Central and Southern Asia
Turks and Caicos Islands,TCA,2021,Latin America and Caribbean
Tuvalu,TUV,2021,Oceania
Uganda,UGA,2021,Sub-Saharan Africa
Ukraine,UKR,2021,Europe and Northern America
United Arab Emirates,ARE,2021,Northern Africa and Western Asia
United Kingdom,GBR,2021,Europe and Northern America
United States,USA,2021,Europe and Northern America
United States Virgin Islands,VIR,2021,Latin America and Caribbean
Uruguay,URY,2021,Latin America and Caribbean
Uzbekistan,UZB,2021,Central and Southern Asia
Vanuatu,VUT,2021,Oceania
Venezuela,VEN,2021,Latin America and Caribbean
Vietnam,VNM,2021,Eastern and South-Eastern Asia
Wallis and Futuna,WLF,2021,Oceania
Western Sahara,ESH,2021,Northern Africa and Western Asia
Yemen,YEM,2021,Northern Africa and Western Asia
Zambia,ZMB,2021,Sub-Saharan Africa
Zimbabwe,ZWE,2021,Sub-Saharan Africa
